TIME_STAMP	Qualcomm Lte/LteAdv LL1 PUCCH CSF(Per TTI) Pri. Component Carrier System Frame Number	Qualcomm Lte/LteAdv LL1 PUCCH CSF(Per TTI) Pri. Component Carrier System Subframe Number	Qualcomm Lte/LteAdv LL1 PUCCH CSF(Per TTI) Pri. Component Carrier CQI CW0	Qualcomm Lte/LteAdv LL1 PUCCH CSF(Per TTI) Pri. Component Carrier Rank Index	Qualcomm Lte/LteAdv LL1 PUSCH CSF(Per TTI) Pri. Component Carrier System Frame Number	Qualcomm Lte/LteAdv LL1 PUSCH CSF(Per TTI) Pri. Component Carrier System Subframe Number	Qualcomm Lte/LteAdv LL1 PUSCH CSF(Per TTI) Pri. Component Carrier WideBand CQI CW0	Qualcomm Lte/LteAdv LL1 PUSCH CSF(Per TTI) Pri. Component Carrier Rank Index
2021-02-08 19:27:45.876462	549	5	15					
2021-02-08 19:27:45.876620	561	5		Rank1				
2021-02-08 19:27:46.385061	593	5		Rank1				
2021-02-08 19:27:46.385275	625	5		Rank1				
2021-02-08 19:27:46.386223					656	4	15	Rank1
2021-02-08 19:27:46.386287	657	5		Rank1				
2021-02-08 19:27:46.463293	661	5	15					
2021-02-08 19:27:48.969278	917	4	12					
2021-02-08 19:27:48.994730	921	4		Rank1				
2021-02-08 19:27:48.994943					922	9	15	Rank1
2021-02-08 19:27:49.000226					923	3	15	Rank1
2021-02-08 19:27:49.048337					924	8	15	Rank1
2021-02-08 19:27:49.048529	925	4	15					
2021-02-08 19:27:49.050286					926	0	15	Rank1
2021-02-08 19:27:49.053955					928	2	15	Rank1
2021-02-08 19:27:49.054015					928	7	15	Rank1
2021-02-08 19:27:49.054058					929	1	15	Rank1
2021-02-08 19:27:49.054077	929	4		Rank1				
2021-02-08 19:27:49.154822					930	4	15	Rank1
2021-02-08 19:27:49.154937					930	9	15	Rank1
2021-02-08 19:27:49.158485	933	4	15					
2021-02-08 19:27:49.211610					936	0	15	Rank1
2021-02-08 19:27:49.211674	937	4		Rank1				
2021-02-08 19:27:49.211989					940	4	15	Rank1
2021-02-08 19:27:49.213558	941	4	15					
2021-02-08 19:27:49.213643					942	6	15	Rank1
2021-02-08 19:27:49.213791					944	7	15	Rank1
2021-02-08 19:27:49.282680	945	4		Rank1				
2021-02-08 19:27:49.289723	949	4	15					
2021-02-08 19:27:49.408018	953	4		Rank1				
2021-02-08 19:27:49.411855	957	4	15					
2021-02-08 19:27:49.781593	961	4		Rank1				
2021-02-08 19:27:50.102507	965	4	15					
2021-02-08 19:27:50.244238					15	7	15	Rank1
2021-02-08 19:27:50.244266	17	4		Rank1				
2021-02-08 19:27:50.247130	21	4	15					
2021-02-08 19:27:50.448409	25	4		Rank1				
2021-02-08 19:27:50.448563	29	4	15					
2021-02-08 19:27:50.451861	33	4		Rank1				
2021-02-08 19:27:51.142487					112	4	14	Rank1
2021-02-08 19:27:51.142527	113	4		Rank1				
2021-02-08 19:27:51.285370	117	4	14					
2021-02-08 19:27:51.285619	121	4		Rank1				
2021-02-08 19:27:51.287909	125	4	12					
2021-02-08 19:27:51.708226	129	4		Rank1				
2021-02-08 19:27:52.156401					208	9	15	Rank1
2021-02-08 19:27:52.156408	209	4		Rank1				
2021-02-08 19:27:52.160018	213	4	15					
2021-02-08 19:27:52.160232	217	4		Rank1				
2021-02-08 19:27:52.351893	221	4	15					
2021-02-08 19:27:52.353981	225	4		Rank1				
2021-02-08 19:27:53.470551					335	5	15	Rank1
2021-02-08 19:27:53.473519	337	4		Rank1				
2021-02-08 19:27:53.475713	341	4	15					
2021-02-08 19:27:53.952703	345	4		Rank1				
2021-02-08 19:27:53.952861	349	4	15					
2021-02-08 19:27:53.954594	353	4		Rank1				
2021-02-08 19:27:54.273847	401	4		Rank1				
2021-02-08 19:27:54.364483					432	1	15	Rank1
2021-02-08 19:27:54.364620	433	4		Rank1				
2021-02-08 19:27:54.367284	437	4	15					
